Регион,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Карелия,19500.0,26000.0,22600.0,27000.0,27400.0,30200.0,28700.0,26400.0,27000.0,23100.0,28400.0,32500.0,34000.0,29600.0,21500.0,12400.0,32600.0,27800.0,30800.0,29600.0,32500.0,43000.0
Кемеровская обл.,68500.0,85400.0,70800.0,80900.0,95100.0,107700.0,105500.0,88000.0,85300.0,98900.0,113900.0,125900.0,138600.0,95200.0,89600.0,107200.0,127000.0,143900.0,144400.0,135200.0,141700.0,156700.0
Кировская обл.,30900.0,34100.0,30400.0,34200.0,35600.0,36500.0,36200.0,34400.0,38300.0,48800.0,58800.0,63500.0,81000.0,54700.0,43800.0,61300.0,57100.0,68700.0,58100.0,55900.0,63900.0,67700.0
Коми,28500.0,32100.0,29100.0,32000.0,34800.0,40400.0,33200.0,28700.0,35300.0,31500.0,41000.0,52100.0,58800.0,39000.0,54000.0,64599.99999999999,59600.0,65600.0,66700.0,49300.0,75800.0,65900.0
Костромская обл.,13500.0,17100.0,12600.0,14300.0,17300.0,18100.0,17300.0,14500.0,17100.0,16800.0,18100.0,21400.0,29700.0,18100.0,12200.0,18200.0,18000.0,21800.0,22000.0,18500.0,22200.0,33300.0
Краснодарский край,142200.0,160000.0,135700.0,145400.0,158400.0,159500.0,162500.0,148800.0,160000.0,146800.0,153200.0,173100.0,190500.0,125200.0,168300.0,177600.0,178600.0,209800.0,237700.0,185700.0,257200.0,308500.0
Красноярский край,52000.0,87900.0,66600.0,73300.0,85400.0,90200.0,93300.0,76300.0,86100.0,84000.0,90400.0,97100.0,145500.0,95800.0,118100.0,138200.0,152000.0,127900.0,147400.0,119800.0,148200.0,189800.0
Крым,53400.0,58500.0,51400.0,53800.0,58400.0,61700.0,69200.0,76300.0,86100.0,84000.0,90400.0,97100.0,145500.0,95800.0,118100.0,138200.0,152000.0,127900.0,147400.0,119800.0,148200.0,189800.0
Курганская обл.,27900.0,30400.0,28400.0,30600.0,36700.0,34500.0,31800.0,29900.0,33200.0,37700.0,44400.0,55300.0,58100.0,42400.0,36900.0,57300.0,55200.0,60600.0,46300.0,51200.0,62400.0,67300.0
Курская обл.,22700.0,27100.0,22500.0,23000.0,23500.0,24400.0,24000.0,22500.0,26600.0,28900.0,36100.0,47600.0,51000.0,37300.0,29100.0,42500.0,43700.0,44400.0,49500.0,43800.0,64099.99999999999,66500.0
Ленинградская обл.,36900.0,51900.0,37600.0,39800.0,45100.0,44300.0,48800.0,43200.0,40900.0,31700.0,42200.0,49900.0,66600.0,57900.0,37200.0,54100.0,65900.0,62200.0,74900.0,58900.0,61900.0,82400.0
