Регион,population,cash_income,child_mort,disabled,grp,poverty_%,Social_expenses_%,retail,poverty_deti_%,poverty_pens_%,poverty_trud_%,mining,manufacturing,industry,supply,unemployed,borned,drug,alco,respiratory_d,blood_d,metabolic_d,all_disease,square_liv
Республика Дагестан,2832146.2916666665,26595.2,0.00013378567180854828,1.244748730096643,220953.6,14.3,27.540000000000003,192674.6,39.89999999999999,6.525,53.55,1630.3891324118485,14337.627270028212,23041.694976573286,6382.064243998858,0.06006045679931994,0.01706117711045271,0.0,0.0,26023.8,2498.2,2116.9,80693.8,22.5
Республика Ингушетия,443265.4166666667,16238.8,0.00011884482235944418,1.4616682818890487,134501.46000000002,29.96,27.6,49174.2,39.8,9.25,50.925,2365.901050876546,4223.8272904221685,10191.205293567762,2414.833742116216,0.15778357022739384,0.020048774897386587,0.0,0.0,21872.9,4000.6,1162.5,60547.7,27.8
Кабардино-Балкарская Республика,869256.5,20888.4,6.842910773613843e-05,0.7873458524612701,190213.28,24.62,24.76,147437.4,35.325,10.975000000000001,53.725,373.5393475810423,38053.34332805677,50517.11162500397,10548.969865677944,0.05784253554618228,0.013677483960902974,0.0,0.0,19422.4,1872.3,1015.7,44792.0,18.9
Карачаево-Черкесская Республика,460228.4583333333,18278.2,7.630874981389294e-05,1.3167873238318324,186941.8,23.259999999999998,22.160000000000004,81677.8,34.925000000000004,9.2,55.875,5945.936124535367,63704.129122976694,92832.01216097923,20431.60862225018,0.0604482393391036,0.012234371579241586,0.0,0.0,29249.7,3222.6,1024.6,63347.1,18.3
Республика Северная Осетия — Алания,703707.3333333334,23332.2,7.0144854785297e-05,1.1042836463264558,234918.84000000003,14.080000000000002,22.86,160778.2,34.7,9.4,55.925000000000004,963.2765435303155,30168.987157759773,46326.44975410831,12952.983873037858,0.05380077513284405,0.013652483183882718,0.0,0.0,26998.1,3013.0,1130.8,72233.0,16.4
Чеченская Республика,1271048.8333333333,23454.8,0.0,1.4805695899698583,157075.56,19.919999999999998,28.48,115880.4,46.02499999999999,6.6499999999999995,47.324999999999996,3577.8637420610494,7499.459072105428,25384.566770197067,13110.448896448397,0.07524494534893952,0.024559981796508774,0.0,0.0,14313.9,5470.3,844.9,52150.1,19.2
Ставропольский край,2770870.125,23031.0,7.703378169253902e-05,0.9083515778279214,280167.94,14.2,26.959999999999997,177896.6,39.099999999999994,4.475,56.4,3888.3407604186314,103861.88451906567,139364.3041311127,27653.80370614532,0.02663423281161545,0.01154046885910146,0.0,0.0,29633.5,2529.5,849.4,59172.3,19.0
Республика Башкортостан,4070248.9166666665,29220.0,7.025403400365621e-05,0.7516912509875778,403355.29999999993,12.1,19.939999999999998,215618.6,40.1,5.5,54.425,65975.10510857125,296898.6497278688,401905.3096625147,32716.93488310483,0.025502125822075544,0.012806854828657854,5.4,70.4,35108.7,3358.7,1101.0,84448.9,17.4
Республика Марий Эл,703025.0,20024.0,5.593491661774648e-05,1.076710998897621,276769.80000000005,20.759999999999998,21.919999999999998,125955.4,35.425,4.95,59.65,1081.0487213514077,225263.052748673,251952.87542835443,17356.190619609955,0.0,0.012294338514839557,2.2,85.0,39505.6,3411.2,1349.1,93490.3,16.5
Республика Мордовия,841691.9583333334,19023.4,3.338255672200635e-05,0.9945265506130583,310187.83999999997,18.02,19.48,115042.0,33.36666666666667,7.5,59.20000000000001,118.05704481785176,250402.20317864823,271757.7573207713,15649.320988027683,0.0,0.008965086833833652,8.2,78.6,29391.6,3616.8,1117.6,65931.9,20.0
